Year,Team,Player,Salary,Percent_team_salary
1991.0,CHI,Horace Grant,1750000.0,0.10398716501277556
1991.0,CHI,John Paxson,1600000.0,0.09507397944025195
1991.0,CHI,Cliff Levingston,1350000.0,0.08021867015271258
1991.0,CHI,Stacey King,1100000.0,0.0653633608651732
1991.0,CHI,Craig Hodges,700000.0,0.041594866005110226
1991.0,CHI,Bob Hansen,600000.0,0.03565274229009448
1991.0,CHI,Will Perdue,500000.0,0.029710618575078732
1991.0,CHI,BJ Armstrong,435000.0,0.025848238160318497
1991.0,CHI,Scott Williams,350000.0,0.020797433002555113
1991.0,CHI,Mark Randall,180000.0,0.010695822687028345
1991.0,CHI,Rory Sparrow,126000.0,0.007487075880919841
1991.0,CHI,Chuck Nevitt,118000.0,0.0070117059837185814
1992.0,CHI,Michael Jordan,4000000.0,0.21579628830384118
1992.0,CHI,Scottie Pippen,3425000.0,0.184775571860164
1992.0,CHI,Bill Cartwright,2200000.0,0.11868795856711264
1992.0,CHI,Horace Grant,1900000.0,0.10250323694432456
1992.0,CHI,Stacey King,1400000.0,0.0755287009063444
1992.0,CHI,John Paxson,1200000.0,0.06473888649115235
1992.0,CHI,Rodney McCray,1075000.0,0.057995252481657315
1992.0,CHI,Will Perdue,625000.0,0.03371817004747518
1992.0,CHI,Scott Williams,613000.0,0.03307078118256366
1992.0,CHI,Bob Hansen,600000.0,0.032369443245576175
1992.0,CHI,BJ Armstrong,540000.0,0.02913249892101856
1992.0,CHI,Craig Hodges,400000.0,0.02157962883038412
1992.0,CHI,Trent Tucker,350000.0,0.0188821752265861
1992.0,CHI,Corey Williams,200000.0,0.01078981441519206
1992.0,CHI,Ricky Blanton,8000.0,0.00043159257660768235
1993.0,CHI,Michael Jordan,4000000.0,0.21585451405752523
1993.0,CHI,Scottie Pippen,3075000.0,0.16593815768172251
1993.0,CHI,Bill Cartwright,2400000.0,0.12951270843451515
1993.0,CHI,Horace Grant,1950000.0,0.10522907560304355
1993.0,CHI,Stacey King,1600000.0,0.0863418056230101
1993.0,CHI,Will Perdue,1200000.0,0.06475635421725758
1993.0,CHI,Toni Kukoc,1025000.0,0.05531271922724084
1993.0,CHI,John Paxson,800000.0,0.04317090281150505
1993.0,CHI,Scott Williams,641000.0,0.034590685877718415
1993.0,CHI,Corie Blount,620000.0,0.03345744967891641
1993.0,CHI,BJ Armstrong,620000.0,0.03345744967891641
1993.0,CHI,Steve Kerr,150000.0,0.008094544277157197
1993.0,CHI,Bill Wennington,150000.0,0.008094544277157197
1993.0,CHI,Pete Myers,150000.0,0.008094544277157197
1993.0,CHI,A.J. English,150000.0,0.008094544277157197
1994.0,CHI,Michael Jordan,3850000.0,0.17457840109673325
1994.0,CHI,Toni Kukoc,3260000.0,0.14782482794164947
1994.0,CHI,BJ Armstrong,2800000.0,0.12696610988853327
1994.0,CHI,Ron Harper,2400000.0,0.10882809419017138
