Year,Team,Player,Salary,Percent_team_salary
2022.0,CHO,Kai Jones,2909040.0,0.023110721148101324
2022.0,CHO,Dennis Smith,2133278.0,0.0169477191751847
2022.0,CHO,Sviatoslav Mykhailiuk,1968175.0,0.015636066742177598
2022.0,CHO,Nick Richards,1782621.0,0.014161942374030446
2022.0,CHO,JT Thor,1563518.0,0.012421289672207013
2022.0,CHO,Bryce McGowens,1461055.0,0.01160727755102686
2022.0,CHO,Theo Maledon,508891.0,0.004042858811078029
2022.0,CHO,Xavier Sneed,102910.0,0.0008175632900720193
2022.0,CHO,Kobi Simmons,32795.0,0.00026053821881169835
2023.0,CHO,Kyle Lowry,28543576.0,0.20276100603572447
2023.0,CHO,Davis Bertans,17000000.0,0.12076052077733064
2023.0,CHO,Grant Williams,12405000.0,0.08811966236722274
2023.0,CHO,LaMelo Ball,10900635.0,0.07743331525903516
2023.0,CHO,Brandon Miller,10880364.0,0.07728931899334826
2023.0,CHO,Miles Bridges,7921300.0,0.05626943019020407
2023.0,CHO,Vasilije Micic,7723000.0,0.05486079423313674
2023.0,CHO,Cody Martin,7560000.0,0.05370291394568351
2023.0,CHO,Nick Richards,5000000.0,0.03551780022862666
2023.0,CHO,James Bouknight,4570080.0,0.03246383769376843
2023.0,CHO,Seth Curry,4000000.0,0.028414240182901326
2023.0,CHO,Mark Williams,3908160.0,0.027761849228301914
2023.0,CHO,Ishmael Smith,3196448.0,0.022706160301038645
2023.0,CHO,Tre Mann,3191400.0,0.022670301529927824
2023.0,CHO,Kai Jones,3047880.0,0.021650798592165326
2023.0,CHO,Frank Ntilikina,2528233.0,0.017959454925084294
2023.0,CHO,Nick Smith,2463912.0,0.017502546839383192
2023.0,CHO,JT Thor,1836096.0,0.013042818185716098
2023.0,CHO,Bryce McGowens,1719864.0,0.012217157194481352
2023.0,CHO,Aleksej Pokusevski,565176.0,0.00401476165240286
2023.0,CHO,Amari Bailey,559782.0,0.003976445049516218
2023.0,CHO,Leaky Black,559782.0,0.003976445049516218
2023.0,CHO,Nathan Mensah,395708.0,0.0028109355385738796
2023.0,CHO,Marques Bolden,257629.0,0.0018300830710201714
2023.0,CHO,Edmond Sumner,40459.0,0.0002874029358900012
2022.0,CLE,Donovan Mitchell,30913750.0,0.20342511466082785
2022.0,CLE,Kevin Love,27442830.0,0.18058504191072278
2022.0,CLE,Jarrett Allen,20000000.0,0.1316081773714466
2022.0,CLE,Caris LeVert,18796296.0,0.1236873128947106
2022.0,CLE,Darius Garland,8920794.0,0.05870247195230683
2022.0,CLE,Evan Mobley,8478720.0,0.055793444282141585
2022.0,CLE,Cedi Osman,7426088.0,0.04886669533399855
2022.0,CLE,Isaac Okoro,7040880.0,0.046331869194553545
2022.0,CLE,Ricky Rubio,5853659.0,0.038519469597198236
2022.0,CLE,Dylan Windler,4037277.0,0.02656693337568309
2022.0,CLE,Robin Lopez,2905851.0,0.019121687691149775
2022.0,CLE,Raul Neto,2463490.0,0.01621077144363925
2022.0,CLE,Danny Green,2000000.0,0.01316081773714466
2022.0,CLE,Dean Wade,1930681.0,0.012704670374784094
2022.0,CLE,Lamar Stevens,1782621.0,0.011730375037703276
2022.0,CLE,Sam Merrill,955522.0,0.00628772544291597
2022.0,CLE,Mamadi Diakite,508891.0,0.0033487108495366415
2022.0,CLE,Isaiah Mobley,508891.0,0.0033487108495366415
2023.0,CLE,Darius Garland,34005250.0,0.20377764969866208
2023.0,CLE,Donovan Mitchell,33162030.0,0.19872462436348867
2023.0,CLE,Jarrett Allen,20000000.0,0.11985069934710792
2023.0,CLE,Caris LeVert,15384616.0,0.0921928493393353
2023.0,CLE,Max Strus,14487684.0,0.08681795296599529
2023.0,CLE,Isaac Okoro,8920794.0,0.05345816998157421
2023.0,CLE,Evan Mobley,8882640.0,0.05322953080242974
2023.0,CLE,Georges Niang,8800000.0,0.05273430771272748
2023.0,CLE,Dean Wade,5709877.0,0.034216637581798326
2023.0,CLE,Ricky Rubio,3722327.0,0.02230617470743111
2023.0,CLE,Tristan Thompson,3196448.0,0.01915482641133322
2023.0,CLE,Damian Jones,2586665.0,0.015500680461334345
2023.0,CLE,Ty Jerome,2439025.0,0.014615942598753994
2023.0,CLE,Sam Merrill,1997238.0,0.011968518553130957
2023.0,CLE,Craig Porter,1500000.0,0.008988802451033093
2023.0,CLE,Isaiah Mobley,559782.0,0.0033545132090961383
2023.0,CLE,Emoni Bates,559782.0,0.0033545132090961383
2023.0,CLE,Marcus Morris,496001.0,0.002972303336343244
2023.0,CLE,Pete Nance,244503.0,0.0014651927771232964
2023.0,CLE,Zhaire Smith,116075.0,0.0006955834963357777
2023.0,CLE,Sharife Cooper,103550.0,0.0006205269958696512
2022.0,DAL,Kyrie Irving,38917057.0,0.2195674028060647
2022.0,DAL,Luka Doncic,37096500.0,0.20929594337503937
2022.0,DAL,Tim Hardaway Jr,19602273.0,0.11059469814753584
2022.0,DAL,Davis Bertans,16000000.0,0.09027091757984257
2022.0,DAL,Christian Wood,14317459.0,0.08077813508386095
2022.0,DAL,Dwight Powell,11080125.0,0.06251331566558457
2022.0,DAL,Reggie Bullock,10012800.0,0.05649154022146548
2022.0,DAL,Maxi Kleber,9000000.0,0.05077739113866144
